Year,Factor,Value
1851,Cement CO2,0.0
1851,Coal CO2,0.198805
1851,Gas CO2,0.0
1851,Oil CO2,0.0
1851,Flaring CO2,0.0
1851,Other Industry CO2,0.0
1852,Cement CO2,0.0
1852,Coal CO2,0.20755099999999999
1852,Gas CO2,0.0
1852,Oil CO2,0.0
1852,Flaring CO2,0.0
1852,Other Industry CO2,0.0
1853,Cement CO2,0.0
1853,Coal CO2,0.217209
1853,Gas CO2,0.0
1853,Oil CO2,0.0
1853,Flaring CO2,0.0
1853,Other Industry CO2,0.0
1854,Cement CO2,0.0
1854,Coal CO2,0.255139
1854,Gas CO2,0.0
1854,Oil CO2,0.0
1854,Flaring CO2,0.0
1854,Other Industry CO2,0.0
1855,Cement CO2,0.0
1855,Coal CO2,0.260129
1855,Gas CO2,0.0
1855,Oil CO2,3.7e-05
1855,Flaring CO2,0.0
1855,Other Industry CO2,0.0
1856,Cement CO2,0.0
1856,Coal CO2,0.27725099999999997
1856,Gas CO2,0.0
1856,Oil CO2,4e-05
1856,Flaring CO2,0.0
1856,Other Industry CO2,0.0
1857,Cement CO2,0.0
1857,Coal CO2,0.27983800000000003
1857,Gas CO2,0.0
1857,Oil CO2,5.1e-05
1857,Flaring CO2,0.0
1857,Other Industry CO2,0.0
1858,Cement CO2,0.0
1858,Coal CO2,0.284109
1858,Gas CO2,0.0
1858,Oil CO2,6.2e-05
1858,Flaring CO2,0.0
1858,Other Industry CO2,0.0
1859,Cement CO2,0.0
1859,Coal CO2,0.301257
1859,Gas CO2,0.0
1859,Oil CO2,5.5e-05
1859,Flaring CO2,0.0
1859,Other Industry CO2,0.0
1860,Cement CO2,0.0
1860,Coal CO2,0.330368
1860,Gas CO2,0.0
1860,Oil CO2,0.000273
1860,Flaring CO2,0.0
1860,Other Industry CO2,0.0
1861,Cement CO2,0.0
1861,Coal CO2,0.346793
1861,Gas CO2,0.0
1861,Oil CO2,0.000941
1861,Flaring CO2,0.0
1861,Other Industry CO2,0.0
1862,Cement CO2,0.0
1862,Coal CO2,0.352658
1862,Gas CO2,0.0
1862,Oil CO2,0.001399
1862,Flaring CO2,0.0
1862,Other Industry CO2,0.0
1863,Cement CO2,0.0
1863,Coal CO2,0.37656599999999996
1863,Gas CO2,0.0
1863,Oil CO2,0.0012929999999999999
1863,Flaring CO2,0.0
1863,Other Industry CO2,0.0
1864,Cement CO2,0.0
1864,Coal CO2,0.40598
1864,Gas CO2,0.0
1864,Oil CO2,0.00111
1864,Flaring CO2,0.0
1864,Other Industry CO2,0.0
1865,Cement CO2,0.0
1865,Coal CO2,0.430987
1865,Gas CO2,0.0
1865,Oil CO2,0.00132
1865,Flaring CO2,0.0
1865,Other Industry CO2,0.0
1866,Cement CO2,0.0
1866,Coal CO2,0.44401799999999997
1866,Gas CO2,0.0
1866,Oil CO2,0.001952
1866,Flaring CO2,0.0
1866,Other Industry CO2,0.0
1867,Cement CO2,0.0
1867,Coal CO2,0.47583
1867,Gas CO2,0.0
1867,Oil CO2,0.0019850000000000002
1867,Flaring CO2,0.0
1867,Other Industry CO2,0.0
1868,Cement CO2,0.0
1868,Coal CO2,0.488464
1868,Gas CO2,0.0
1868,Oil CO2,0.0022890000000000002
1868,Flaring CO2,0.0
1868,Other Industry CO2,0.0
1869,Cement CO2,0.0
1869,Coal CO2,0.518516
1869,Gas CO2,0.0
1869,Oil CO2,0.002614
